mul_name,single-sided,zero-error,mue_ED0,var_ED0,mue_ED,NMED,var_ED,mue_RED,var_RED,mue_ARED,var_ARED,RMS_ED,RMS_RED,ER,WCE,WCRE
mul8_033,NO,NO,135.109375,18543.68335,137.647888,0.002117,17851.285441,0.030808,0.007257,0.030808,0.007257,191.828639,0.090587,0.958557,817.0,1.0
mul8_034,NO,NO,104.253906,548733.326157,398.865601,0.006134,400508.435794,39062.553284,779724116930.9651,39062.553284,779724116930.9651,748.065641,883883.476483,0.935745,2824.0,20000000.0
mul8_035,NO,NO,15.0,3109.0,28.636719,0.00044,2513.938339,0.010949,0.003617,0.010949,0.003617,57.7408,0.061131,0.731567,280.0,2.0
mul8_036,NO,NO,67.3125,36406.402344,157.316528,0.002419,16188.884917,0.047132,0.017486,0.047132,0.017486,202.329867,0.140382,0.984924,875.0,2.0
mul8_037,NO,NO,212.855469,458274.393173,393.10791,0.006045,349048.014723,0.051683,0.013981,0.051683,0.013981,709.635007,0.129044,0.889236,3204.0,4.0
mul8_038,NO,NO,106.664063,9415.738708,109.333923,0.001681,8839.054145,0.028093,0.007357,0.028093,0.007357,144.197645,0.090254,0.957825,657.0,1.0
mul8_039,NO,NO,20.34375,6104.631836,64.767578,0.000996,2323.660824,9765.649083,97560882098.00568,9765.649083,97560882098.00568,80.737228,312500.0,0.929443,201.0,10000000.0
mul8_040,NO,NO,135.657227,19929.982116,151.298065,0.002327,15441.760705,0.037833,0.013494,0.037833,0.013494,195.787807,0.12217,0.977203,1032.0,3.5625
mul8_041,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mul8_042,NO,NO,6.597656,358.435776,14.896118,0.000229,180.070507,0.006208,0.002578,0.006208,0.002578,20.049061,0.051154,0.907288,84.0,8.999999
mul8_043,NO,NO,95.25,38557.625,167.913055,0.002582,19435.39332,0.047037,0.016889,0.047037,0.016889,218.243413,0.138209,0.982803,1094.0,2.0
mul8_044,NO,NO,4.898438,711242.78656,604.833008,0.009302,345443.81391,0.088965,0.025679,0.088965,0.025679,843.366339,0.183285,0.990997,3043.0,3.0
mul8_045,NO,NO,87.125,36346.171875,161.366028,0.002482,17897.942562,0.046428,0.0168,0.046428,0.0168,209.611396,0.137678,0.982803,1033.0,2.0
mul8_046,NO,NO,131.21875,29748.936523,168.232025,0.002587,18665.28259,0.04547,0.017028,0.04547,0.017028,216.719397,0.138186,0.976486,957.0,1.0625
mul8_047,NO,NO,148.25,34528.1875,187.408813,0.002882,21384.186631,0.052585,0.02064,0.052585,0.02064,237.710433,0.152988,0.978577,1025.0,1.03125
mul8_048,NO,NO,117.539063,27648.838318,153.742981,0.002364,17827.365338,0.042807,0.016157,0.042807,0.016157,203.627772,0.134124,0.978058,953.0,1.0625
mul8_049,NO,NO,263.828766,100754.259711,305.336548,0.004696,77129.469957,0.069734,0.026548,0.069734,0.026548,412.746747,0.17723,0.987503,1558.0,1.0
mul8_050,NO,NO,4.6875,70.902344,4.71875,7.3e-05,70.608398,0.001721,0.000183,0.001721,0.000183,9.637168,0.013637,0.439453,40.0,1.0
mul8_051,NO,NO,79.5,11907.625,102.804871,0.001581,7659.03358,0.02902,0.008927,0.02902,0.008927,135.010648,0.098841,0.967987,549.0,1.666667
mul8_052,NO,NO,0.367188,327302.912048,310.560913,0.004776,230854.966138,9765.658656,97560881911.03688,9765.658656,97560881911.03688,572.104052,312500.0,0.777374,2570.0,10000000.0
mul8_053,NO,NO,32.359375,191475.511475,325.854584,0.005011,86341.43088,0.063463,0.018978,0.063463,0.018978,438.77402,0.151674,0.96843,1257.0,8.0
mul8_054,NO,NO,99.4375,32491.464844,154.040466,0.002369,18650.815989,0.044559,0.018625,0.044559,0.018625,205.862287,0.143564,0.978271,1077.0,2.03125
mul8_055,YES,NO,4.609375,69.441162,4.609375,7.1e-05,69.441162,0.001638,0.000177,0.001638,0.000177,9.522998,0.013418,0.422852,40.0,1.0
mul8_056,NO,NO,70.875,6831.546875,79.878052,0.001228,5474.309347,0.022672,0.006393,0.022672,0.006393,108.879808,0.083108,0.946838,545.0,2.0
mul8_057,NO,NO,210.320313,263128.955994,412.127411,0.006338,137514.587038,0.081401,0.032216,0.081401,0.032216,554.403815,0.197083,0.989761,2843.0,7.0
mul8_058,NO,NO,13.195313,171236.215759,311.179474,0.004786,74577.667069,0.061371,0.01807,0.061371,0.01807,414.017309,0.147772,0.964584,1335.0,2.0
mul8_059,NO,NO,41.523438,644990.026794,579.169922,0.008907,311276.424252,0.082933,0.022293,0.082933,0.022293,804.18544,0.170794,0.990906,2887.0,3.0
mul8_060,NO,NO,2.953125,61.779053,4.109375,6.3e-05,53.613037,0.001592,0.000178,0.001592,0.000178,8.396428,0.013442,0.43457,40.0,1.0
mul8_061,NO,NO,147.210938,642146.014099,616.307281,0.009478,283982.408996,0.099432,0.03346,0.099432,0.03346,814.7497,0.208198,0.989822,2815.0,7.0
mul8_062,NO,NO,65.898438,6535.434998,75.117676,0.001155,5235.373848,0.021456,0.005589,0.021456,0.005589,104.297838,0.07778,0.950531,529.0,2.0
mul8_063,NO,NO,118.78125,16850.088867,137.747314,0.002118,11984.75158,0.035532,0.012435,0.035532,0.012435,175.951909,0.117034,0.972183,722.0,1.0
mul8_064,NO,NO,257.474609,61905.890957,273.719727,0.004209,53276.57672,0.058819,0.02167,0.058819,0.02167,358.048971,0.158523,0.981079,1926.0,1.0
mul8_065,NO,NO,17.751953,51814.633785,161.319397,0.002481,26105.817785,0.032157,0.006955,0.032157,0.006955,228.319438,0.089381,0.957581,1062.0,1.0
mul8_066,NO,NO,346.734863,95479.971695,355.342957,0.005465,89436.420345,0.071965,0.025179,0.071965,0.025179,464.440564,0.174235,0.986679,2449.0,3.0
mul8_067,NO,NO,69.492188,6322.968689,76.688354,0.001179,5271.029098,0.021555,0.005559,0.021555,0.005559,105.603659,0.077611,0.950653,529.0,2.0
mul8_068,NO,NO,104.0,13138.375,116.874603,0.001797,10294.70211,0.031068,0.011652,0.031068,0.011652,154.77201,0.112328,0.960114,641.0,7.0
mul8_069,NO,NO,224.189453,81146.321529,270.83136,0.004165,58057.606937,0.062912,0.037955,0.062912,0.037955,362.501355,0.204728,0.982193,1648.0,6.0
mul8_070,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mul8_071,NO,NO,68.148438,639070.138123,583.514313,0.008974,303225.394479,0.084372,0.022438,0.084372,0.022438,802.318109,0.17192,0.990662,2783.0,3.0
mul8_072,NO,NO,14.140625,1565.823975,29.457031,0.000453,898.06456,0.011084,0.003057,0.011084,0.003057,42.0212,0.056389,0.912476,268.0,1.352941
mul8_073,NO,NO,49.898438,719285.302185,620.270416,0.009539,337039.766963,0.09415,0.028271,0.09415,0.028271,849.573514,0.192704,0.991013,3043.0,3.0
mul8_074,NO,NO,261.474609,60840.844082,276.754333,0.004256,52616.854321,0.059348,0.021659,0.059348,0.021659,359.457668,0.158686,0.981079,1926.0,1.0
mul8_075,NO,NO,150.210938,657335.248474,624.46875,0.009604,289937.354492,0.099976,0.033447,0.099976,0.033447,824.559624,0.208427,0.989838,2911.0,7.0
mul8_076,NO,NO,15.0,1488.0,30.355469,0.000467,791.545517,0.010945,0.003826,0.010945,0.003826,41.388404,0.062819,0.849609,132.0,7.999999
mul8_077,NO,NO,274.483398,67673.608611,291.288605,0.00448,58165.69338,0.06186,0.02317,0.06186,0.02317,378.172903,0.164308,0.981049,1960.0,1.023437
