mul_name,untrained_acc,net,dataset,concat,classify,single-sided,zero-error,mue_ED0,var_ED0,mue_ED,NMED,var_ED,mue_RED,var_RED,mue_ARED,var_ARED,RMS_ED,RMS_RED,ER,WCE,WCRE
mul8_277,0.009999999776482582,resnet34,cifar100,resnet34cifar100,2,NO,NO,66.611328,7653.829403,79.833008,0.001228,5717.589301,0.022303,0.005089,0.022303,0.005089,109.958621,0.07474,0.854431,544.0,3.555556
ReFAM_sta1_j8_k1_const0,0.10970000177621841,vgg16,mnist,vgg16mnist,2,YES,NO,288.0,62464.0,288.0,0.004429,62464.0,0.040892,0.010365,0.040892,0.010365,381.324009,0.109716,0.753906,1152.0,1.0
mul8_441,0.10000000149011612,vgg16,cifar,vgg16cifar,2,NO,NO,131.875,36726.515625,180.466461,0.002775,21549.387639,0.049751,0.019265,0.049751,0.019265,232.63175,0.147446,0.976959,1051.0,1.03125
mul8_247,0.009999999776482582,resnet34,cifar100,resnet34cifar100,2,NO,NO,229.169922,71994.777767,262.840424,0.004042,55428.54259,9765.682438,20000.0,9765.682438,20000.0,352.86489,10000.0,0.982391,1648.0,40000000.0
mul8_287,0.10760000348091125,resnet34,cifar,resnet34cifar,2,NO,NO,75.144531,41016.455673,167.220276,0.002572,18700.535585,0.049044,0.018126,0.049044,0.018126,216.016565,0.143288,0.984528,1092.0,2.0
ReFAM_sta4_j2_k4_const1,0.09969999641180038,resnet34,mnist,resnet34mnist,2,NO,YES,26.5,430.25,28.1875,0.000433,337.964844,10000.0,20000.0,10000.0,20000.0,33.652637,10000.0,0.976563,62.0,620000000.0
mul8_164,0.10350000113248825,resnet34,cifar,resnet34cifar,2,NO,NO,40.8125,84058.0,577.572601,0.008882,89872.0,0.081692,0.020933,0.081692,0.020933,802.447623,0.166154,0.989731,2896.0,3.03125
ReFAM_new2_sta1_j5_k3,0.19380000233650208,resnet18,cifar,resnet18cifar,2,NO,NO,45.0,21495.0,88.25,0.001357,15731.9375,0.019654,0.014005,0.019654,0.014005,153.362316,0.119965,0.488281,480.0,2.0
mul8_255,0.10000000149011612,resnet18,cifar,resnet18cifar,2,NO,NO,110.855469,17759.963486,127.831726,0.001966,13707.948246,0.033546,0.011431,0.033546,0.011431,173.346181,0.112056,0.966919,776.0,2.530769
mul8_451,0.11490000039339066,vgg16,mnist,vgg16mnist,2,NO,NO,56.273438,84058.0,580.742004,0.008931,89872.0,0.083904,0.022435,0.083904,0.022435,801.318857,0.171683,0.990662,2886.0,3.0
mul8_114,0.9890000224113464,vgg16,mnist,vgg16mnist,0,YES,NO,11.28125,157.920898,11.28125,0.000173,157.920898,0.004259,0.000693,0.004259,0.000693,16.887495,0.026674,0.679688,66.0,1.0
mul8_332,0.10000000149011612,vgg16,cifar,vgg16cifar,2,NO,NO,153.784668,24649.013202,169.68161,0.002609,19506.888496,10000.0,20000.0,10000.0,20000.0,219.769737,10000.0,0.978546,1032.0,40000000.0
ReFAM_sta3_j3_k6_const1,0.10279999673366547,resnet18,mnist,resnet18mnist,2,NO,YES,35.3125,62596.027344,204.200439,0.00314,22145.180527,10000.0,20000.0,10000.0,20000.0,252.671724,10000.0,0.994492,904.0,5080000000.0
mul8_295,0.10000000149011612,resnet18,cifar,resnet18cifar,2,NO,NO,111.8125,10592.464844,117.032043,0.0018,9398.000804,0.031737,0.009581,0.031737,0.009581,151.968747,0.102899,0.963745,704.0,1.0
