mul_name,untrained_acc,net,dataset,concat,classify,single-sided,zero-error,mue_ED0,var_ED0,mue_ED,NMED,var_ED,mue_RED,var_RED,mue_ARED,var_ARED,RMS_ED,RMS_RED,ER,WCE,WCRE
ReFAM_new_sta1_j1_k6,0.5041000247001648,resnet18,mnist,resnet18mnist,2,NO,NO,13.4375,1170.433594,17.121094,0.000263,1057.868149,0.003444,0.000257,0.003444,0.000257,36.755952,0.016404,0.368164,186.0,0.421769
ReFAM_sta2_j7_k2_const1,0.1000000014901161,vgg16,cifar,vgg16cifar,2,NO,YES,72.0,71584.0,220.726563,0.003394,28047.784607,34931640.805074,1.5527353047071338e+17,34931640.805074,1.5527353047071338e+17,277.070388,395592909.441006,0.900024,896.0,4480000000.0
ReFAM_new1_sta4_j1_k2,0.1000000014901161,resnet18,cifar,resnet18cifar,2,NO,YES,41545.953125,355581132.060505,41545.967407,0.638923,355579945.322773,5109844090.961941,3.322574696484871e+21,5109844090.961941,3.322574696484871e+21,45625.073733,57867825284.16699,0.999969,65534.0,655340000000.0
mul8_336,0.1290999948978424,vgg16,cifar,vgg16cifar,2,NO,NO,48.677734,197301.837551,328.499634,0.005052,91759.349975,0.063263,0.019075,0.063263,0.019075,446.846013,0.151911,0.96843,1264.0,8.0
ReFAM_new2_sta1_j4_k1,0.8276000022888184,resnet18,mnist,resnet18mnist,2,NO,NO,4.5,275.75,9.0,0.000138,215.0,0.003731,0.001474,0.003731,0.001474,17.204651,0.038571,0.320313,48.0,2.0
ReFAM_new1_sta4_j6_k2,0.101000003516674,vgg16,mnist,vgg16mnist,2,NO,YES,41545.953125,355581132.060505,41545.967407,0.638923,355579945.322773,5109844090.961941,3.322574696484871e+21,5109844090.961941,3.322574696484871e+21,45625.073733,57867825284.16699,0.999969,65534.0,655340000000.0
ReFAM_new_sta3_j2_k3,0.9175999760627748,resnet18,cifar,resnet18cifar,0,NO,NO,0.40625,34.084961,2.484375,3.8e-05,28.077881,0.000847,6.9e-05,0.000847,6.9e-05,5.85235,0.008364,0.207031,20.0,0.444444
mul8_188,0.1134999990463256,resnet34,mnist,resnet34mnist,2,NO,NO,204.46875,47250.170898,230.709229,0.003548,35830.892503,0.053225,0.01986,0.053225,0.01986,298.425268,0.150642,0.978333,1304.0,4.333333
ReFAM_new2_sta2_j5_k3,0.978600025177002,vgg16,mnist,vgg16mnist,0,NO,NO,56.0,23344.0,109.875,0.00169,14407.484375,0.043046,0.035339,0.043046,0.035339,162.726765,0.192853,0.668091,480.0,2.0
ReFAM_sta3_j6_k4_const1,0.1000000014901161,resnet34,cifar,resnet34cifar,2,NO,YES,80.3125,249809.902344,408.787109,0.006287,89153.099209,77348633.225415,7.6131562643822e+17,77348633.225415,7.6131562643822e+17,506.221295,875955728.047942,0.974457,1920.0,9920000000.0
ReFAM_new_sta2_j4_k3,0.2698000073432922,resnet34,cifar,resnet34cifar,2,NO,NO,8.3125,1310.902344,23.3125,0.000359,836.527344,0.004363,0.000184,0.004363,0.000184,37.148351,0.014249,0.514771,120.0,0.311111
ReFAM_new1_sta2_j6_k1,0.1000000014901161,resnet34,cifar,resnet34cifar,2,NO,YES,44.5,5331.75,55.4375,0.000853,4238.683594,14970703.186357,2.851962804612352e+16,14970703.186357,2.851962804612352e+16,85.510233,169539818.33186,0.499023,192.0,1920000000.0
ReFAM_new2_sta1_j1_k6,0.089599996805191,resnet34,mnist,resnet34mnist,2,NO,NO,24.5,5664.75,46.417969,0.000714,4110.372177,0.014515,0.009672,0.014515,0.009672,79.151753,0.099413,0.580078,254.0,2.0
ReFAM_new2_sta3_j1_k4,0.0102000003680586,resnet34,cifar100,resnet34cifar100,2,NO,NO,22.75,377.4375,22.867188,0.000352,372.091736,0.013555,0.008763,0.013555,0.008763,29.916551,0.094588,0.890625,62.0,2.0
ReFAM_new1_sta2_j4_k4,0.1009000018239021,resnet34,mnist,resnet34mnist,2,NO,YES,94.75,26270.4375,134.445313,0.002068,17172.457947,38674316.572096,1.9032890661276058e+17,38674316.572096,1.9032890661276058e+17,187.744507,437977864.023971,0.834656,496.0,4960000000.0
ReFAM_sta1_j3_k7_const0,0.1134999990463256,resnet18,mnist,resnet18mnist,2,YES,NO,765.0,313425.0,765.0,0.011765,313425.0,0.108173,0.033194,0.108173,0.033194,947.971519,0.211886,0.936035,3060.0,1.0
mul8_460,0.9879999756813048,vgg16,mnist,vgg16mnist,0,NO,NO,15.996094,531.761703,19.203613,0.000295,418.857956,0.007055,0.00124,0.007055,0.00124,28.064866,0.03592,0.830811,121.0,1.0
ReFAM_sta1_j2_k1_const0,0.826200008392334,resnet18,cifar,resnet18cifar,2,YES,NO,4.0,14.5,4.0,6.2e-05,14.5,0.002083,0.00034,0.002083,0.00034,5.522681,0.01856,0.671875,16.0,1.0
ReFAM_new2_sta3_j4_k2,0.1000000014901161,resnet34,cifar,resnet34cifar,2,NO,NO,37.375,1513.109375,37.84375,0.000582,1477.850586,0.021768,0.015355,0.021768,0.015355,53.944416,0.125814,0.660645,112.0,2.0
mul8_428,0.1027999967336654,resnet34,cifar,resnet34cifar,2,NO,NO,91.914063,9747.023865,101.249023,0.001557,7943.854003,0.028827,0.008685,0.028827,0.008685,134.889654,0.097552,0.958252,673.0,1.666667
mul8_468,0.1134999990463256,resnet18,mnist,resnet18mnist,2,NO,NO,66.0,5520.875,70.203613,0.00108,4948.327682,0.019543,0.005644,0.019543,0.005644,99.382468,0.077626,0.942871,484.0,7.0
mul8_282,0.989199995994568,vgg16,mnist,vgg16mnist,0,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
