mul_name,retrained_acc,net,dataset,concat
ReFAM_sta3_j1_k1_const1,0.7652000188827515,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j2_k2_const1,0.7601000070571899,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j4_k1_const1,0.753000020980835,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j6_k1_const0,0.2565999925136566,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j5_k4_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j1_k2_const1,0.7613999843597412,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j8_k1_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j5_k2_const0,0.7387999892234802,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j3_k4_const1,0.34150001406669617,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j2_k2_const1,0.7538999915122986,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j2_k6_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j1_k8_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j7_k3_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j5_k5_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j6_k4_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j4_k1_const1,0.7572000026702881,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j6_k4_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j6_k3_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j4_k2_const0,0.4650999903678894,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j1_k1_const1,0.7570000290870667,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j2_k8_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j3_k2_const0,0.7505999803543091,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j2_k3_const1,0.7490000128746033,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j1_k8_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j7_k2_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j3_k3_const1,0.743399977684021,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j2_k1_const0,0.7634999752044678,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j3_k1_const1,0.76419997215271,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j2_k5_const0,0.313400000333786,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j2_k7_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j1_k6_const0,0.24539999663829803,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j1_k5_const1,0.7541000247001648,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j1_k8_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j1_k9_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j1_k4_const1,0.7475000023841858,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j2_k6_const0,0.25,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j2_k1_const1,0.7651000022888184,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j6_k2_const0,0.7506999969482422,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j4_k1_const1,0.7616000175476074,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j3_k1_const0,0.7501999735832214,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j2_k1_const0,0.7547000050544739,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j3_k3_const0,0.4763000011444092,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j3_k1_const0,0.7515000104904175,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j3_k5_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j6_k2_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j8_k2_const1,0.10369999706745148,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j2_k7_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j1_k2_const0,0.7542999982833862,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j3_k4_const1,0.43050000071525574,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j2_k1_const1,0.7583000063896179,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j3_k4_const1,0.2619999945163727,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j3_k7_const1,0.10050000250339508,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j7_k2_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j4_k3_const0,0.29120001196861267,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j1_k5_const1,0.7447999715805054,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j3_k3_const0,0.4731999933719635,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j4_k1_const0,0.7617999911308289,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j1_k5_const0,0.460099995136261,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j2_k8_const1,0.09790000319480896,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j2_k6_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j1_k3_const1,0.7623999714851379,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j3_k1_const1,0.7638000249862671,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j3_k3_const0,0.5388000011444092,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j1_k6_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j7_k1_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
