,Unnamed: 0,mul_name,retrained_acc,untrained_acc,net,dataset,concat,classify,single-sided,zero-error,mue_ED0,var_ED0,mue_ED,NMED,var_ED,mue_RED,var_RED,mue_ARED,var_ARED,RMS_ED,RMS_RED,ER,WCE,WCRE
4388,4388,ReFAM_sta4_j1_k2_const0,-1.0,0.9890999794006348,vgg16,mnist,vgg16mnist,0,YES,NO,0.0190652864111075,7.244669197258808e-05,0.0101470895534746,0.0100767754318618,9.532894362918764e-05,0.0015402905683627,0.0006110591164576,0.0015402905683627,0.0006110591164576,0.0098534012272588,0.0139911502839433,0.6999749536234776,0.0051928783382789,0.1428571428571428
4389,4389,mul8_480,-1.0,0.099200002849102,resnet34,cifar,resnet34cifar,2,NO,NO,0.4602750111408868,0.0316568626856546,0.2450687875259665,0.2449616122840691,0.0415969735176088,0.0194880634256423,0.0099771204014728,0.0194880634256423,0.0099771204014728,0.224740518321515,0.0585218824456745,0.9425796546043588,0.2462908011869436,0.1428571428571428
4390,4390,ReFAM_new2_sta1_j2_k7,-1.0,0.0100999996066093,resnet34,cifar100,resnet34cifar100,2,NO,NO,0.6655518165332098,1.0,0.6820962966030734,0.682101727447217,0.8975542037125588,0.0338014732585682,0.0418715968133618,0.0338014732585682,0.0418715968133618,0.8017380292573325,0.1186015716904629,0.6639326069205378,0.7566765578635015,0.2857142857142857
4391,4391,ReFAM_sta4_j1_k7_const0,-1.0,0.1134999990463256,resnet34,mnist,resnet34mnist,2,YES,NO,1.0,0.1010647275367487,0.6484912687356968,0.6485124760076776,0.1329859715043349,0.0555886800839074,0.0476871939217177,0.0555886800839074,0.0476871939217177,0.5333577053349642,0.131303631249888,0.9982599895334656,0.3805637982195846,0.1428571428571428
4392,4392,ReFAM_new2_sta3_j6_k1,-1.0,0.1000000014901161,resnet34,cifar,resnet34cifar,2,NO,NO,0.3761061046554858,0.0672679476727893,0.2074964505849727,0.2075335892514395,0.0848397439658037,0.0284199419296904,0.0419435894104157,0.0284199419296904,0.0419435894104157,0.2454820665677661,0.1177297373151084,0.464081867034285,0.142433234421365,0.2857142857142857
4393,4393,ReFAM_new2_sta2_j1_k1,-1.0,0.6097000241279602,resnet34,cifar100,resnet34cifar100,2,YES,NO,0.0138656628444418,6.368939953634117e-05,0.007379701493436,0.0074376199616122,8.380566472895615e-05,0.0011988067942623,0.0007743593975799,0.0011988067942623,0.0007743593975799,0.0081208123728285,0.0157124260284361,0.5090726935443474,0.0044510385756676,0.2857142857142857
4394,4394,ReFAM_new1_sta4_j7_k2,-1.0,0.101000003516674,vgg16,mnist,vgg16mnist,2,NO,YES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4395,4395,mul8_095,-1.0,0.096400000154972,resnet18,cifar,resnet18cifar,2,NO,NO,0.3139814390493435,1.0,1.0,1.0,1.0,0.074541029546477,0.037655640093204,0.074541029546477,0.037655640093204,1.0,0.1254642816622179,1.0,1.0,0.4285714285714285
4396,4396,ReFAM_sta4_j7_k1_const1,-1.0,0.1000000014901161,resnet34,cifar,resnet34cifar,2,NO,YES,0.3605072339554886,0.0942603113137849,0.2934584421999197,0.293426103646833,0.0633366385286862,1.0,1.0,1.0,1.0,0.2720977124080293,1.0,0.7656595851261176,0.1899109792284866,1.0
4397,4397,ReFAM_new2_sta1_j5_k2,-1.0,0.9873999953269958,vgg16,mnist,vgg16mnist,0,NO,NO,0.1455894598666396,0.0640842738134664,0.1531288059887989,0.1530710172744721,0.0628500582634806,0.0105227592611664,0.0119068731859182,0.0105227592611664,0.0119068731859182,0.2002401979297509,0.0620778918328227,0.4295300851780431,0.1661721068249258,0.2857142857142857
4398,4398,mul8_373,0.2696000039577484,0.1000000014901161,vgg16,cifar,vgg16cifar,2,NO,NO,1.0,0.3054859063765827,0.6138106346162493,0.6137236084452975,0.3082963537020369,0.0376201291133888,0.0258418305083555,0.0376201291133888,0.0258418305083555,0.5809910584739663,0.0957390587771627,0.9953542025987144,0.650593471810089,0.235955
4399,4399,ReFAM_new1_sta1_j2_k1,0.9948999881744384,0.9861000180244446,vgg16,mnist,vgg16mnist,0,NO,YES,0.0381305728222151,0.0003534761674266,0.0212166417936287,0.0211132437619961,0.0004179807528356,1.0,1.0,1.0,1.0,0.0206154212023512,1.0,0.6840664319502168,0.0089020771513353,1.0
4400,4400,ReFAM_new1_sta1_j3_k3,0.1134999990463256,0.4891999959945678,vgg16,mnist,vgg16mnist,2,NO,YES,0.3379755318332706,0.030334464881665,0.1934865485310276,0.1933781190019194,0.033661527340209,1.0,1.0,1.0,1.0,0.1867198276339166,1.0,0.7894607698400902,0.0890207715133531,1.0
4401,4401,mul8_271,-1.0,0.0988999977707862,resnet18,cifar,resnet18cifar,2,NO,NO,1.0,0.4077479026443839,0.6852467686574868,0.6852207293666027,0.3697422182349284,0.0439520332738898,0.0314976391695917,0.0439520332738898,0.0314976391695917,0.6437058916891685,0.1063630473597152,0.998197882664853,0.8100890207715133,0.1428571428571428
4402,4402,ReFAM_new2_sta4_j5_k2,-1.0,0.1027999967336654,resnet18,mnist,resnet18mnist,2,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857
4403,4403,ReFAM_sta2_j4_k2_const1,-1.0,0.9455999732017516,vgg16,mnist,vgg16mnist,1,NO,YES,0.0658618985110988,0.0096266527399179,0.0874033395628837,0.0873320537428023,0.0047752860643515,1.0,1.0,1.0,1.0,0.0787341967400899,1.0,0.8988319836119318,0.0415430267062314,1.0
4404,4404,mul8_423,-1.0,0.0099999997764825,resnet34,cifar100,resnet34cifar100,2,NO,NO,1.0,0.6571910108781495,0.9360091065811618,0.9359404990403072,0.7496314381947604,0.0513969215870142,0.0382386045376407,0.0513969215870142,0.0382386045376407,0.8940006737946302,0.1180551823387852,0.9962094447238689,0.9310089020771514,0.1428571428571428
4405,4405,mul8_395,-1.0,0.0970999971032142,resnet34,mnist,resnet34mnist,2,NO,NO,0.2043560421854749,1.0,1.0,1.0,1.0,0.078394917854181,0.0436661439887059,0.078394917854181,0.0436661439887059,1.0,0.1343543051300884,1.0,1.0,0.4285714285714285
