mul_name,single-sided,zero-error,mue_ED0,var_ED0,mue_ED,NMED,var_ED,mue_RED,var_RED,mue_ARED,var_ARED,RMS_ED,RMS_RED,ER,WCE,WCRE,untrained
DRUM5,NO,NO,0.6704460154418318,1.0,1.0,1.0,1.0,0.025449575132754074,0.0008217691566155052,0.025449575132754074,0.0008217691566155052,1.0,0.02651630509425963,0.9631307201702854,1.0,0.01611325,0.306300014257431
ReFAM_sta4_j1_k9_const1,NO,YES,1.0,1.0,1.0,1.0,0.810890665368441,1.0,1.0,1.0,1.0,0.9861487180055628,1.0,1.0,0.9999349847214096,1.0,0.1000000014901161
ReFAM_sta3_j1_k1_const1,YES,YES,0.01199861444559856,1.2391955334468162e-05,0.005681052713224945,0.0057258429456691394,1.5915144584122316e-05,1.0,1.0,1.0,1.0,0.005198603784567918,1.0,0.8910616536250884,0.001950458357714063,1.0,0.7099999785423279
ReFAM_sta2_j4_k2_const1,NO,YES,0.05699341861659316,0.007492176195219451,0.06728496807225794,0.06723247845882474,0.0036274095976922827,1.0,1.0,1.0,1.0,0.06599214082544029,1.0,0.8990180704248286,0.03640855601066251,1.0,0.4546999931335449
ReFAM_new2_sta4_j6_k1,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.1000000014901161
ReFAM_new2_sta3_j5_k1,NO,NO,0.1867284373096276,0.01365330148807534,0.0897428795792253,0.08976644101920006,0.01716079062387989,0.016342437760516883,0.020358101713248217,0.016342437760516883,0.020358101713248217,0.10989325583424266,0.08150009255775903,0.5126588291938683,0.062414667446850015,0.25,0.6362000107765198
ReFAM_new_sta3_j3_k1,NO,NO,0.00299965361139964,4.708943027097902e-05,0.0019528618701710747,0.0020317507226567913,5.764266747364693e-05,0.00024120679281691587,3.687425702761882e-05,0.00024120679281691587,3.687425702761882e-05,0.005073317525929178,0.003419412049228785,0.10342730825957125,0.005201222287237501,0.0555555,0.7228000164031982
mul8_414,NO,NO,0.01949774847409766,0.0002521762910564271,0.01065197383729677,0.010712867446735809,0.00027931078745134665,0.0015186090588960135,0.00041966416331432846,0.0015186090588960135,0.00041966416331432846,0.013613139294321579,0.011614505890853501,0.42961901156923904,0.010402444574475003,0.125,0.7005000114440918
ReFAM_sta2_j2_k1_const0,YES,NO,0.0149982680569982,5.2046212404766284e-05,0.007101315891531181,0.007018775223723461,6.684360725331372e-05,0.0013840030209569855,0.0004986804283735117,0.0013840030209569855,0.0004986804283735117,0.00769406691917134,0.012630401939532911,0.636472609732206,0.003900916715428126,0.125,0.7044000029563904
ReFAM_sta3_j3_k4_const1,NO,YES,0.10048839598188794,0.03195575481875977,0.13736330408255587,0.13742023069605935,0.014838839018554107,1.0,1.0,1.0,1.0,0.13430404226546874,1.0,0.9910082204765561,0.11702750146284377,1.0,0.124899998307228
